Ward Code,Area,Latitude,Longitude,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall_Days_Count,Longest_Rainfall_Days,Discharge_m3s,Nearest_Station,Elevation,Soil_Type,Soil_Wetness_Index,Road_Density_m,Distance_to_Water_m,Built_up_%,Population,Flood_Risk_Level
Ward P/S,Motilal Nagar,19.1613,72.8407,30.2,1.3,2,24.0,,,13.0,,,,,,,
Ward P/S,Goregaon Station Subway,19.1555,72.8441,30.2,1.3,2,24.0,,,11.0,,,,,,,
Ward R/N,Dahisar Subway,19.2525,72.8601,31.7,1.5,2,24.0,,,8.0,,,,,,,
Ward R/N,Ovaripada slum slope,19.2536,72.8682,31.7,1.5,2,24.0,,,12.0,,,,,,,
R/N,Dahisar,18.85334504,72.97523957,35.6,1.4,2,24.0,,,0.0,,,,,,,
Ward R/S,Shimpoli Road,19.2064,72.8376,31.7,1.5,2,24.0,,,12.0,,,,,,,
Ward R/S,Poinsur Depot,19.2083,72.8361,31.7,1.5,2,24.0,,,11.0,,,,,,,
R/S,Kandivali,19.03759446,72.74871077,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward R/S,Mahavir Nagar junction,19.206,72.83,31.7,1.5,2,24.0,,,8.0,,,,,,,
Ward R/C,IC Colony Subway,19.2365,72.8322,31.7,1.5,2,24.0,,,1.0,,,,,,,
Ward R/C,Mandapeshwar Creek edge,19.2408,72.8173,31.7,1.5,2,24.0,,,1.0,,,,,,,
R/C,Borivali,18.87866314,72.73566232,22.5,1.1,2,24.0,,,0.0,,,,,,,
Ward L,Kurla Station (West & East),19.0727,72.8826,30.2,1.3,2,24.0,,,7.0,,,,,,,
Ward L,Bail Bazaar,19.0722,72.8771,30.2,1.3,2,24.0,,,11.0,,,,,,,
Ward L,LBS Road near Phoenix Marketcity,19.0888,72.8861,30.2,1.3,2,24.0,,,13.0,,,,,,,
Ward L,CST Road Nullah,19.0813,72.8711,30.2,1.3,2,24.0,,,3.0,,,,,,,
Ward M/E,Shivaji Nagar,19.0572,72.8999,30.2,1.3,2,24.0,,,12.0,,,,,,,
Ward M/E,Baiganwadi,19.0566,72.9021,30.2,1.3,2,24.0,,,10.0,,,,,,,
Ward M/E,Chembur East Bus Depot,19.0524,72.9005,30.2,1.3,2,24.0,,,14.0,,,,,,,
Ward M/W,Mahul Village,19.0054,72.8841,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward M/W,RC Marg,19.0443,72.8943,30.2,1.3,2,24.0,,,10.0,,,,,,,
Ward M/W,Shell Colony,19.0431,72.8995,30.2,1.3,2,24.0,,,17.0,,,,,,,
M/W,Chembur,19.27786647,72.73192718,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward M/W,Trombay Road Sectors,19.0005,72.8873,30.2,1.3,2,24.0,,,1.0,,,,,,,
Ward N,Pant Nagar,19.0845,72.9107,30.2,1.3,2,24.0,,,10.0,,,,,,,
Ward N,Amar Mahal Junction,19.0594,72.9084,30.2,1.3,2,24.0,,,4.0,,,,,,,
